item_id,label,item_type,under_contract,vendor,unit_cost,budget_line,approving_employee,department_use
866100676-7,neque,Weekly,FALSE,,$658.64 ,47149,48-770-5994,Custodial
218533188-4,est,Yearly,FALSE,Zulu Papa Bravo Juliett Oscar Romeo Mike Foxtrot Delta Lima Hotel,$20.78 ,11275,85-746-9133,Caretaker
055101405-9,mauris laoreet,Yearly,TRUE,Whiskey Sierra Bravo Echo Uniform Hotel Delta Kilo India Mike Tango Yankee Foxtrot Papa X-ray Zulu Charlie Golf Juliett Oscar,$277.33 ,34442,39-337-8036,Patient_care
591349039-8,praesent blandit,Never,TRUE,Hotel Juliett Papa Golf Quebec Oscar X-ray Sierra Alfa Charlie Tango,$186.56 ,31350,95-293-7179,Patient_care
328517508-7,duis,Never,FALSE,Delta Hotel Lima Foxtrot Papa Tango Bravo X-ray India Echo Yankee November Romeo Juliett Whiskey Zulu,$746.19 ,99200,54-233-5901,Custodial
100223068-3,vestibulum aliquet,Never,TRUE,,$205.91 ,10872,17-689-8167,Admin
421081997-2,lacus morbi quis,Weekly,FALSE,,$591.68 ,59148,23-835-5396,Patient_services
852609990-6,enim sit amet,Weekly,TRUE,Hotel X-ray Oscar Lima Romeo Victor Tango Foxtrot Charlie Alfa Whiskey Delta Sierra,$194.79 ,51352,56-095-5394,Maint
102729439-1,vestibulum ante ipsum,Daily,FALSE,Romeo Alfa Oscar Tango Sierra Echo Whiskey November Victor Foxtrot Bravo,$911.02 ,67532,34-560-4013,Caretaker
707569684-X,nunc,Seldom,TRUE,,$111.27 ,46097,96-237-6163,Patient_care
695689883-7,arcu libero rutrum,Daily,TRUE,Uniform November Tango Echo Juliett Alfa Kilo Lima Whiskey X-ray Yankee Papa India Zulu Victor Mike Sierra,$369.12 ,33526,63-947-1285,Custodial
132431937-2,adipiscing molestie hendrerit,Once,FALSE,Uniform Lima Foxtrot Yankee Tango Charlie Golf Mike Alfa India,$458.84 ,97164,74-110-6014,Facilities
462740354-2,congue elementum in,Often,TRUE,Bravo Romeo Papa Quebec Tango November Yankee Whiskey Charlie Echo Alfa X-ray Kilo Golf Lima India Hotel,$309.70 ,9523,01-439-0017,Patient_services
488946600-2,vel,Seldom,FALSE,Papa November Victor Golf Charlie X-ray Yankee Lima Oscar Alfa Mike Kilo Uniform Juliett Romeo Tango India Hotel,$545.41 ,32478,10-780-3587,Maint
567269978-2,phasellus id,Daily,FALSE,,$750.81 ,47548,98-693-8484,Accounting
739747620-1,tincidunt nulla,Often,FALSE,,$636.14 ,46799,11-074-4751,Patient_services
337238803-8,turpis elementum ligula,Often,TRUE,Golf Kilo Whiskey Yankee Tango Uniform Bravo India X-ray Mike Alfa Delta Lima Hotel Charlie Sierra Quebec Oscar,$853.47 ,18998,22-270-9875,Patient_care
032653218-8,odio odio elementum,Weekly,FALSE,Hotel Papa India Alfa Bravo November Mike Charlie X-ray Foxtrot Romeo,$545.05 ,16903,62-675-4192,Caretaker
935073983-6,ipsum,Weekly,TRUE,,$120.76 ,42160,44-508-4442,Accounting
278037069-6,potenti,Seldom,FALSE,Tango Hotel Charlie Lima Romeo November Whiskey India Quebec Echo Foxtrot Mike Delta Alfa Uniform Yankee Kilo Zulu,$182.33 ,57703,25-235-1996,Facilities
403254857-9,tempus,Weekly,FALSE,Kilo Alfa Hotel Papa Juliett Bravo Echo November Tango Delta Romeo Golf,$986.13 ,28238,76-717-7835,Custodial
814861013-4,velit donec,Often,TRUE,Kilo Quebec Uniform Charlie India Romeo Yankee Juliett X-ray Papa Whiskey November Mike Lima Bravo Hotel Victor,$209.51 ,36842,24-199-4271,Admin
203156345-9,ante,Weekly,FALSE,Whiskey Romeo Oscar Echo Kilo Hotel Quebec Charlie India Delta Papa Juliett Victor Mike Lima,$227.96 ,8387,06-568-6125,Patient_services
109397840-6,bibendum felis,Seldom,FALSE,,$450.90 ,28354,08-522-9448,Admin
854061250-X,hac,Daily,TRUE,,$813.77 ,36809,44-514-5362,Patient_care
011149116-9,vivamus,Often,TRUE,X-ray Foxtrot Mike Kilo Bravo November Alfa Charlie Whiskey Juliett Oscar Tango Golf Zulu Sierra India Yankee Victor Delta Romeo,$211.12 ,73470,86-042-2258,Custodial
082303274-4,augue,Seldom,FALSE,Victor Golf Echo Tango Charlie Mike Quebec Uniform Kilo Sierra Oscar Romeo Alfa X-ray Foxtrot Whiskey Bravo Zulu,$147.50 ,36244,03-716-4593,Patient_care
185717523-9,maecenas tincidunt lacus,Yearly,TRUE,,$221.32 ,32263,72-906-6662,Custodial
156318559-8,ligula sit amet,Seldom,TRUE,Bravo India Golf Echo Papa Victor Zulu Charlie November Lima Sierra Whiskey Yankee X-ray,$832.68 ,53901,92-467-1126,Maint
669981321-8,tincidunt eget,Often,FALSE,Golf Quebec Hotel Zulu Victor Tango Alfa Echo India X-ray,$298.45 ,90638,00-723-7601,Accounting
030883017-2,primis,Never,FALSE,Zulu Victor Golf Bravo Foxtrot Hotel Oscar Tango Lima Whiskey Charlie Alfa X-ray Quebec Uniform,$587.04 ,65635,39-287-3368,Caretaker
065715416-4,curae donec,Seldom,TRUE,,$518.14 ,77569,99-046-3501,Caretaker
868342790-0,ac enim,Never,TRUE,,$733.58 ,91347,24-561-8491,Custodial
733701372-8,molestie lorem quisque,Never,TRUE,Alfa X-ray Charlie Quebec Kilo Sierra Papa Lima Juliett Victor November Hotel Romeo Delta,$537.44 ,83954,94-926-6869,Patient_services
980545170-4,in sapien iaculis,Never,FALSE,Whiskey Romeo Sierra Bravo Golf Tango Delta India Foxtrot Mike Hotel November Echo Yankee Charlie Papa,$216.64 ,45199,19-242-7520,Facilities
126878061-8,justo aliquam,Daily,FALSE,Oscar Whiskey Uniform India Delta Echo X-ray Hotel Victor Golf Yankee Kilo Lima,$392.05 ,9326,23-036-3562,Patient_care
378483012-9,aliquet at feugiat,Never,FALSE,,$92.61 ,39566,10-023-2885,Patient_care
215374185-8,aliquet maecenas leo,Never,TRUE,Juliett Yankee Alfa Charlie Lima Bravo Hotel November Golf Romeo Sierra Oscar Delta Papa Uniform,$896.90 ,73787,70-566-1578,Custodial
335073244-5,lobortis convallis,Yearly,FALSE,,$752.22 ,53492,61-007-2259,Accounting
666332390-3,quam nec,Often,TRUE,Golf November Juliett India Uniform Papa Hotel Foxtrot Lima Mike Quebec Bravo Tango Oscar Romeo Kilo,$219.78 ,61919,53-582-7281,Custodial
668366912-0,natoque penatibus et,Daily,FALSE,Oscar Uniform Mike Delta Hotel Zulu Yankee Kilo Victor Bravo November Papa Juliett Charlie,$894.49 ,10997,94-162-2519,Maint
814619141-X,morbi odio odio,Often,TRUE,,$488.92 ,18900,76-789-2197,Maint
690997252-X,elementum in,Monthly,FALSE,,$238.47 ,10956,74-216-3334,Patient_care
162040133-9,neque libero convallis,Daily,TRUE,Whiskey Golf X-ray India Hotel Uniform Sierra Foxtrot Echo Bravo Kilo,$50.98 ,91766,10-582-6096,Caretaker
945861125-3,volutpat dui maecenas,Once,TRUE,Zulu Lima Bravo Sierra Golf Uniform Kilo Juliett Mike Romeo Charlie November Tango Oscar Victor Yankee X-ray Whiskey,$921.36 ,88365,51-939-2618,Patient_services
718860401-0,pellentesque,Daily,FALSE,,$791.66 ,11777,29-238-0206,Maint
249881319-5,eu,Yearly,TRUE,Lima Tango Charlie Quebec Victor India Alfa Foxtrot Kilo Hotel November Zulu Yankee Oscar Sierra Papa Whiskey Delta Romeo Juliett,$610.83 ,48401,49-090-2826,Patient_services
557052343-X,ut,Daily,TRUE,,$575.05 ,22404,07-333-9022,Maint
602893676-6,faucibus cursus,Weekly,TRUE,,$343.69 ,28951,83-880-8231,Admin
317112820-9,in hac habitasse,Daily,FALSE,,$596.50 ,79038,75-096-1664,Facilities
634033605-1,integer,Daily,FALSE,,$804.25 ,43050,42-642-5952,Custodial
286349893-2,vitae mattis,Daily,TRUE,Hotel Delta Bravo Papa Tango Zulu Foxtrot Oscar Alfa Echo Kilo Victor,$483.14 ,54306,41-309-1203,Admin
039596647-7,placerat praesent blandit,Weekly,FALSE,Lima Hotel India Yankee Charlie Oscar Golf Foxtrot Delta Bravo Kilo Alfa Sierra Mike November Papa Quebec,$674.68 ,82930,88-567-0407,Patient_care
486892435-4,sed interdum venenatis,Monthly,FALSE,Kilo Foxtrot Papa Tango Oscar Sierra November Zulu Golf Bravo Hotel Whiskey Mike India X-ray Charlie Victor Yankee Uniform Juliett,$374.23 ,71575,00-192-3152,Caretaker
008717145-7,blandit,Often,TRUE,,$724.68 ,7697,67-566-0829,Maint
744181695-5,imperdiet,Seldom,FALSE,Zulu Mike Charlie X-ray Kilo Victor Delta India Foxtrot Yankee Hotel Quebec Lima Uniform Oscar Romeo Tango November Sierra,$111.70 ,47950,14-401-6569,Caretaker
240861186-5,pharetra magna vestibulum,Weekly,TRUE,,$631.89 ,61496,82-083-3116,Patient_care
915814209-6,elit sodales scelerisque,Never,FALSE,Echo Whiskey Golf Lima Tango Foxtrot India Hotel Kilo Mike Oscar Sierra Victor Bravo Papa Quebec Alfa,$898.96 ,41654,66-917-7973,Custodial
894521814-9,tristique tortor eu,Often,TRUE,Tango Juliett Echo Zulu Kilo Lima Romeo Mike Papa Whiskey Alfa Oscar Golf X-ray India November Victor Uniform Quebec Hotel,$786.32 ,71133,67-836-4097,Facilities
034460953-7,nascetur,Monthly,FALSE,Zulu November Lima Juliett Hotel Kilo India Mike Uniform Golf Oscar Charlie Foxtrot Bravo Quebec Sierra,$230.74 ,82754,96-956-6240,Patient_care
532818219-7,morbi porttitor,Monthly,FALSE,India X-ray Romeo Mike Alfa Yankee Lima Zulu Golf November Quebec Juliett Foxtrot Hotel Echo Papa Delta,$298.85 ,51453,98-576-2396,Facilities
357942835-7,condimentum,Weekly,FALSE,November Uniform Alfa Zulu Sierra Victor Quebec Golf Whiskey Bravo Hotel Echo Delta Yankee Lima Juliett Charlie Romeo India Kilo,$351.48 ,66946,46-420-6080,Patient_services
272100701-7,dictumst,Monthly,FALSE,,$979.89 ,62552,76-751-8421,Maint
851967354-6,non,Often,TRUE,X-ray Uniform Charlie Romeo Delta Whiskey Sierra Victor India Oscar Tango,$662.69 ,44970,32-160-4423,Patient_care
901458497-0,velit id pretium,Daily,FALSE,,$491.89 ,6205,24-708-0472,Admin
410584543-8,natoque penatibus et,Once,TRUE,Juliett Alfa Sierra Mike Tango X-ray Quebec Zulu Yankee Echo Oscar Delta Uniform Papa Hotel Romeo,$608.89 ,84842,77-169-0813,Admin
643782173-6,dapibus augue vel,Once,TRUE,Lima Yankee Zulu Oscar India Romeo Delta Kilo Quebec Tango Whiskey Charlie Alfa Golf,$155.64 ,47247,49-240-1489,Patient_services
253039168-8,pulvinar sed,Daily,TRUE,,$807.29 ,2202,13-935-2104,Patient_care
794326114-3,in imperdiet et,Yearly,TRUE,Oscar Kilo Papa Zulu Golf Charlie Echo Juliett X-ray November Victor,$553.69 ,59856,68-957-9606,Custodial
963938546-8,integer,Yearly,TRUE,,$16.12 ,88622,38-873-8893,Maint
342678436-X,vestibulum,Daily,TRUE,Sierra Golf Alfa Kilo Zulu India Lima Quebec Foxtrot Juliett,$840.08 ,85143,84-777-8040,Facilities
329432229-1,faucibus,Seldom,FALSE,,$423.26 ,31521,34-875-8991,Admin
596626563-1,velit nec,Once,TRUE,,$258.03 ,16328,34-892-0156,Caretaker
055964161-3,molestie hendrerit at,Seldom,FALSE,,$694.47 ,70273,42-265-7709,Admin
084000333-1,mi sit,Weekly,TRUE,Lima Yankee India Kilo Bravo Juliett Tango November Golf Papa Sierra Uniform Whiskey Charlie Foxtrot Quebec Alfa X-ray Zulu Hotel,$573.04 ,36749,22-190-3053,Facilities
843051969-6,eros suspendisse accumsan,Never,FALSE,Lima Charlie Sierra X-ray Yankee Quebec Kilo Uniform Juliett November Echo,$742.37 ,99631,52-662-9407,Caretaker
866554216-7,erat fermentum,Yearly,FALSE,Hotel Juliett Echo Tango Zulu Sierra Victor Mike Foxtrot Delta Lima Romeo Kilo Uniform X-ray Oscar Quebec Bravo,$432.58 ,26460,33-580-0886,Facilities
360381728-1,imperdiet sapien,Monthly,FALSE,Lima Kilo Foxtrot Tango Golf Alfa Echo Zulu Hotel Papa Delta,$39.31 ,88368,33-521-5289,Patient_care
958030225-1,suscipit a,Often,FALSE,Charlie X-ray Bravo Uniform Echo Tango Papa Juliett November Oscar Sierra Golf India,$702.75 ,99899,45-763-5712,Accounting
039159396-X,pretium nisl,Never,TRUE,Yankee Echo Juliett Mike Lima Kilo Golf Victor Alfa Zulu X-ray Tango Charlie November Quebec India Hotel Romeo,$205.44 ,85825,01-133-4110,Facilities
047326130-8,sapien sapien non,Seldom,TRUE,,$428.59 ,89279,13-269-0572,Patient_services
027647072-9,ultrices erat,Once,FALSE,,$44.95 ,61684,46-914-5154,Facilities
571655275-7,orci luctus et,Daily,TRUE,,$856.47 ,39311,62-116-4914,Patient_services
536530345-8,lacinia eget tincidunt,Once,TRUE,India Foxtrot Echo Zulu Hotel Quebec November Victor Golf Kilo Mike Yankee Oscar Whiskey,$440.90 ,36811,24-254-4216,Patient_care
024223701-0,imperdiet et commodo,Weekly,TRUE,Yankee Tango Juliett Hotel Bravo Alfa Charlie Kilo Golf Foxtrot Oscar Victor Sierra India Echo,$189.69 ,89513,61-802-8478,Maint
309286195-7,etiam justo,Often,TRUE,Lima Papa Kilo Alfa Whiskey Delta Mike Juliett India Bravo Zulu Foxtrot,$949.83 ,80516,48-274-7058,Admin
765804183-1,turpis,Often,TRUE,Romeo X-ray Foxtrot Victor India Uniform Alfa November Golf Lima Charlie Delta Bravo Juliett Quebec Mike Zulu Kilo Whiskey,$109.80 ,47616,61-302-3678,Patient_care
672713889-3,in faucibus orci,Monthly,FALSE,Charlie November Yankee Delta Victor X-ray Zulu India Sierra Lima Uniform Foxtrot Romeo Oscar Tango Echo Hotel Alfa Whiskey Papa,$976.67 ,41126,03-081-1149,Patient_services
312300759-6,lorem,Once,TRUE,Charlie Alfa Lima Kilo Romeo Juliett Papa X-ray Bravo Delta Hotel Echo Victor Zulu Sierra Foxtrot Mike Whiskey Yankee,$559.49 ,71233,67-515-7459,Admin
322357898-6,pede,Weekly,TRUE,Zulu Tango Oscar Echo Sierra Quebec Alfa India November Uniform Charlie,$840.61 ,85507,58-542-8952,Patient_care
770688064-8,et,Never,TRUE,Whiskey India Foxtrot Papa Alfa Lima Mike Quebec Delta Victor,$564.28 ,86676,70-711-4000,Caretaker
330577117-8,nullam,Once,FALSE,,$454.17 ,39512,21-729-7281,Patient_care
965971335-5,feugiat non pretium,Never,FALSE,,$635.64 ,47195,18-412-6111,Caretaker
195078606-4,in,Weekly,FALSE,Romeo Whiskey Lima Delta Tango Mike Echo Zulu X-ray November,$187.15 ,54096,74-011-5827,Maint
094757197-3,amet turpis elementum,Weekly,TRUE,Alfa Lima Victor Charlie Uniform Quebec Tango Oscar Foxtrot Kilo,$953.60 ,15699,59-893-7304,Facilities
024838389-2,bibendum,Yearly,TRUE,,$139.57 ,45599,11-154-4056,Custodial
316684156-3,in est,Monthly,FALSE,India Lima Juliett Zulu Quebec Foxtrot Tango Delta Yankee November Whiskey Victor Mike Hotel X-ray Romeo Alfa Golf Charlie,$146.29 ,62697,85-780-7490,Facilities
994769530-1,hac habitasse,Once,FALSE,,$250.36 ,41288,69-450-2178,Patient_care
902663757-8,primis,Seldom,TRUE,India Victor Whiskey Lima Foxtrot Alfa Charlie Oscar Quebec Hotel November Tango X-ray Kilo Mike Echo Bravo Romeo,$832.04 ,70202,84-888-5567,Admin
290164942-4,mus vivamus,Weekly,FALSE,Whiskey Echo Oscar Foxtrot Victor Juliett X-ray Mike Hotel Lima November Romeo Bravo Alfa Delta,$916.41 ,73180,01-850-7765,Patient_care
300138623-1,orci,Weekly,TRUE,Yankee Oscar India Alfa Delta Romeo Papa Victor Echo Kilo November Juliett X-ray Golf,$346.57 ,44768,61-649-8056,Accounting
478690720-0,tortor duis mattis,Often,FALSE,Hotel Golf Mike Bravo Oscar Charlie Victor Uniform November Whiskey India,$330.73 ,88547,42-293-5254,Caretaker
196505665-2,elit ac,Often,TRUE,November Echo India Whiskey Golf Bravo Sierra Delta Mike Lima Zulu Kilo,$730.31 ,62838,72-302-1450,Caretaker
268204010-1,egestas,Weekly,TRUE,,$290.95 ,77735,63-094-8903,Custodial
070709836-X,vitae nisl,Weekly,FALSE,,$180.01 ,30572,77-431-6362,Caretaker
839022306-6,nam tristique,Often,FALSE,,$931.74 ,13141,32-354-9768,Facilities
137907194-1,ut odio,Seldom,TRUE,Mike Tango X-ray Zulu Uniform Victor Charlie Whiskey Kilo Echo Sierra,$399.17 ,76791,65-281-2982,Facilities
451904217-8,vestibulum eget,Often,TRUE,Mike Foxtrot Romeo Uniform Lima Tango Hotel X-ray Delta Bravo November Kilo Juliett,$65.15 ,38351,27-469-2536,Facilities
517513321-7,mi pede,Seldom,TRUE,Romeo Hotel X-ray Mike Charlie Victor Quebec Sierra Uniform Juliett Bravo Papa Golf Foxtrot Alfa Tango India Lima Yankee,$193.23 ,58256,23-565-6409,Custodial
072469725-X,rutrum ac,Monthly,FALSE,,$861.41 ,5157,89-772-2057,Facilities
794564126-1,cursus id,Never,FALSE,Kilo Yankee Delta X-ray Echo India Lima November Sierra Whiskey Mike Alfa Uniform Victor Romeo Tango Papa Juliett Charlie,$72.12 ,78633,57-437-6837,Caretaker
919425913-5,duis consequat,Often,FALSE,,$20.52 ,23383,60-780-6877,Maint
141182364-8,iaculis,Often,FALSE,Bravo Uniform Golf Whiskey November Lima Delta Oscar Victor Quebec India Sierra Foxtrot Mike Zulu,$504.90 ,23871,89-949-1503,Facilities
716998710-4,justo sollicitudin ut,Weekly,FALSE,Tango Zulu Hotel Kilo Victor Bravo Juliett Sierra X-ray Mike Charlie November Quebec Golf Delta Romeo,$77.13 ,84027,54-273-8471,Accounting
791703161-6,vivamus,Yearly,TRUE,Echo X-ray November Foxtrot Sierra Delta Lima Whiskey Romeo Kilo,$849.30 ,34948,75-812-5524,Accounting
466509298-2,purus,Once,FALSE,Sierra Tango Kilo Uniform Bravo Lima Mike Echo Quebec Delta Victor Whiskey Foxtrot Charlie,$269.04 ,84780,04-211-3710,Facilities
108355860-9,donec semper,Yearly,TRUE,Hotel Bravo Papa Echo Quebec Charlie Yankee Victor Mike Alfa Romeo November Whiskey Oscar Uniform India Lima Golf Foxtrot,$20.78 ,14727,05-528-6205,Patient_care
671472120-X,at vulputate vitae,Yearly,TRUE,Kilo Charlie Alfa Victor Golf Tango Yankee Lima Sierra Delta India Hotel,$927.14 ,88110,72-270-9705,Facilities
800546968-3,nisl duis ac,Once,FALSE,Alfa Hotel Foxtrot Oscar Golf Charlie Romeo Kilo Echo Tango Delta,$435.29 ,17822,21-843-4619,Patient_services
301365837-1,posuere cubilia curae,Often,TRUE,India Yankee Zulu Sierra Papa Romeo Juliett Hotel Foxtrot Quebec Victor Uniform Mike,$381.27 ,35128,27-292-7433,Accounting
506940529-2,nibh,Monthly,FALSE,,$737.49 ,68992,85-419-8724,Custodial
781261036-5,amet,Once,FALSE,Delta Lima Victor Sierra Whiskey Kilo November Yankee Zulu Alfa Uniform,$289.55 ,58769,37-776-7494,Admin
662835116-5,ac diam cras,Seldom,FALSE,,$981.77 ,87637,04-339-9406,Maint
704580319-2,fusce lacus,Seldom,FALSE,,$861.20 ,65936,44-045-2155,Admin
219331579-5,pede ullamcorper,Yearly,TRUE,,$76.54 ,83128,84-246-3978,Facilities
438744768-0,sodales scelerisque,Often,FALSE,,$874.05 ,51118,31-387-1364,Accounting
322121981-4,vel augue,Often,TRUE,November Golf Alfa Sierra Lima Quebec Kilo Juliett Tango Hotel Bravo Uniform Charlie,$704.95 ,55681,54-449-2172,Accounting
145333442-4,augue,Never,FALSE,,$387.80 ,87678,54-875-7521,Maint
902071453-8,rutrum,Seldom,TRUE,Oscar Lima Papa Uniform Tango Zulu Romeo Bravo Yankee Foxtrot Kilo Charlie Whiskey Golf Alfa Juliett Sierra India,$183.60 ,84661,58-027-0337,Maint
969303304-3,dictumst etiam faucibus,Never,FALSE,,$386.23 ,13978,46-853-5572,Accounting
196485736-8,augue a,Weekly,TRUE,,$421.33 ,43117,39-254-1200,Custodial
296456550-3,at nibh,Monthly,FALSE,India Kilo Lima Sierra Uniform Delta Victor Charlie Alfa Mike Tango X-ray Bravo,$420.47 ,20486,41-074-1500,Caretaker
668362579-4,convallis duis consequat,Never,TRUE,,$192.50 ,18755,89-278-8446,Maint
583180655-3,praesent blandit,Seldom,TRUE,Golf Yankee Zulu Alfa Uniform Romeo Victor Tango Whiskey Papa Quebec Juliett Oscar Bravo X-ray India Kilo November,$488.78 ,86043,05-650-9908,Patient_services
945416085-0,nec molestie,Monthly,TRUE,Echo Quebec Juliett Whiskey Sierra Golf Yankee Alfa Papa Hotel Zulu Mike Delta,$747.13 ,75593,85-150-8652,Patient_services
695955457-8,at diam,Seldom,TRUE,Tango Zulu Lima Charlie India Hotel Whiskey Sierra X-ray Echo Victor Alfa November Quebec Uniform Kilo Juliett,$273.77 ,11501,26-240-4897,Facilities
436535332-2,sapien in sapien,Weekly,FALSE,Oscar Bravo Foxtrot Yankee Papa Whiskey Sierra Tango Golf Zulu November Kilo Victor Romeo Hotel X-ray India,$392.25 ,41681,20-083-1131,Maint
457381822-7,rutrum,Once,TRUE,Foxtrot Bravo India Zulu Delta Quebec Victor November Tango Whiskey Juliett Uniform Mike Oscar Hotel Echo Alfa Romeo Sierra,$567.88 ,35579,55-432-6931,Facilities
196270184-0,nullam,Daily,TRUE,Tango Victor November Delta Juliett Lima Sierra Uniform Whiskey Charlie,$826.47 ,550,57-372-4091,Accounting
445674026-4,mauris laoreet,Seldom,TRUE,,$563.14 ,44219,16-015-4002,Caretaker
039576347-9,ultrices posuere cubilia,Seldom,FALSE,Mike Hotel Bravo India Yankee Echo Juliett Alfa Lima Quebec,$909.29 ,19899,84-206-0052,Admin
339232485-X,convallis eget,Seldom,FALSE,,$839.98 ,68340,71-691-9040,Patient_care
180802586-5,nulla nunc,Often,TRUE,Zulu Papa Golf Delta Bravo Charlie Mike Foxtrot Uniform Tango India Kilo Oscar Romeo Yankee,$376.45 ,84413,39-398-7609,Maint
396752727-1,mauris laoreet,Once,FALSE,Zulu Juliett Sierra Romeo Papa Whiskey Mike Alfa Uniform Foxtrot Charlie Quebec India Oscar,$490.24 ,71107,81-953-7440,Admin
583288870-7,dolor,Daily,FALSE,Echo Mike Papa Zulu November Delta Kilo Oscar Whiskey Romeo Juliett Bravo Charlie,$519.73 ,67526,38-104-6820,Custodial
329317855-3,ipsum,Weekly,TRUE,Whiskey Bravo Papa Juliett Quebec Mike Victor Uniform Hotel Sierra Lima Foxtrot,$279.64 ,92675,32-582-4960,Admin
603239836-6,diam neque,Yearly,TRUE,Delta Kilo Echo Quebec Juliett Zulu Alfa November Oscar Charlie Mike,$768.47 ,4596,47-342-9110,Patient_care
803999651-1,tellus semper interdum,Often,TRUE,,$526.45 ,74361,44-969-8162,Admin
434561516-X,feugiat non pretium,Often,TRUE,Yankee Charlie Hotel Tango Zulu Golf Mike November X-ray Kilo,$721.61 ,88161,14-191-7645,Facilities
951279041-6,porttitor id,Never,FALSE,,$412.40 ,31315,36-861-0493,Admin
736978908-X,duis,Often,FALSE,Papa Zulu Mike Bravo Juliett Lima Golf India November Whiskey Foxtrot X-ray Delta Yankee,$477.86 ,45106,27-104-1237,Patient_care
815174087-6,id consequat,Once,FALSE,Yankee X-ray November Sierra Hotel Oscar Foxtrot Zulu Charlie Papa Uniform Whiskey Victor India Bravo Mike Alfa Juliett,$280.19 ,22151,60-275-2860,Custodial
875149437-X,in,Weekly,TRUE,Whiskey November Alfa Romeo Uniform Zulu Charlie Kilo Papa Lima India Victor,$620.61 ,72812,37-400-7796,Accounting
620028631-0,pede posuere,Seldom,TRUE,Victor Papa India Mike Delta Echo Foxtrot Lima Charlie Tango Golf X-ray Hotel Quebec Romeo Oscar,$707.84 ,90023,37-709-8974,Custodial
151663131-5,cras in purus,Often,TRUE,,$791.80 ,4276,17-512-7387,Maint
827918719-7,rhoncus dui,Daily,FALSE,Papa Sierra Foxtrot November Yankee Bravo Lima Alfa Romeo Whiskey Zulu Oscar Tango Hotel India,$614.71 ,60102,47-162-4701,Maint
166553939-9,lacus,Often,TRUE,,$806.02 ,89206,79-568-4771,Maint
800082624-0,nibh in hac,Once,TRUE,Uniform Whiskey Hotel Juliett Yankee X-ray Alfa November Sierra Quebec Tango Zulu Mike Delta India Romeo Victor,$579.58 ,5798,15-252-6838,Accounting
130414949-8,leo,Often,TRUE,Charlie Alfa Hotel Golf Foxtrot Sierra Whiskey Uniform Victor Yankee Delta Juliett Oscar Echo Papa Romeo,$690.40 ,39704,57-963-4465,Patient_services
960199106-9,consequat nulla,Never,FALSE,Alfa Romeo November India Yankee Hotel Zulu Sierra Papa Uniform X-ray Delta Whiskey Lima,$864.62 ,60355,33-464-2271,Patient_services
632872655-4,tempor convallis,Often,FALSE,India Bravo Sierra Hotel Juliett X-ray Quebec Echo Kilo Lima Oscar Zulu Victor Foxtrot Mike Delta Golf Papa Charlie,$105.41 ,25964,62-567-3796,Patient_care
663032141-3,viverra eget,Daily,TRUE,Alfa India Kilo Charlie Foxtrot Juliett Victor Tango Whiskey Yankee Quebec Mike Oscar Lima Hotel Delta,$22.11 ,84323,96-112-7208,Facilities
